record_type,id,title,category_or_severity,species,content_hash,review_status,reviewer,license_number,reviewed_at,production_eligible
knowledge_card,OS-GI-001,犬突然出现轻度腹泻,gastrointestinal,dog,4be55fc30e3e192e5cc163b0fd7dca8dac3f73d139ca0ae0ca66be3867423580,pending,,,,false
knowledge_card,OS-GI-002,犬腹泻时需要记录哪些信息,gastrointestinal,dog,8aa255c378efc3f8ce03b7caf5c31ec9be7efa7d369bdffa091b8f23cac59a5b,pending,,,,false
knowledge_card,OS-GI-003,犬腹泻是否可以自行用抗生素,gastrointestinal,dog,3eb78e8baf3bce46649d7ec439cd5cd798d2496d267bb188578f701b43926fe1,pending,,,,false
knowledge_card,OS-RESP-001,猫打喷嚏并有鼻眼分泌物,respiratory,cat,9a770ea27b86dfd52972c0dbdc28def784b84bfc36384f0045b8bab7fe59f54e,pending,,,,false
knowledge_card,OS-RESP-002,犬持续咳嗽,respiratory,dog,b7e920926b96aad2076e0957de1c3d31b0167357fbe2fd93aa43cb02f44cd8d9,pending,,,,false
knowledge_card,OS-RESP-003,猫狗呼吸道症状是否需要抗生素,respiratory,cat|dog,9f1cd2638f5fe58c8620053a7dc93cdbda91a57937c1012e31545daecc62d710,pending,,,,false
knowledge_card,OS-EAR-001,犬频繁抓耳或甩头,ear,dog,ee782823cfc451776ac04d5d33f1d311dbea2bf155668862e5bbcfaa22253257,pending,,,,false
knowledge_card,OS-EAR-002,犬耳朵异味和分泌物,ear,dog,a8b8e0a46e0567916573ea1eb8958b63fe536c3b1810f60cb1ef8dc241288af1,pending,,,,false
knowledge_card,OS-EAR-003,猫耳朵很脏并抓挠,ear,cat,1ef84e0ccdc20bd926dcbb86293a285e80fe7e45001000e22fdbbe0781e0f57f,pending,,,,false
knowledge_card,OS-ORAL-001,猫口臭,oral,cat,bb1e3f4e98645f487190708a7b7f9fb570d8f5226aa6435ce30610c492826210,pending,,,,false
knowledge_card,OS-ORAL-002,猫牙齿有牙结石,oral,cat,45cee6b6d917e4d38673d305b87466b92b61fad63455bfec4e74359f139735f2,pending,,,,false
knowledge_card,OS-ORAL-003,犬牙龈红和口臭,oral,dog,68f1f4a0edd6be041edd7002966ca057cddf234dd3cc5f5aceff5bb645f8f758,pending,,,,false
knowledge_card,OS-ORAL-004,猫可能出现口腔疼痛的表现,oral,cat,383fd605bd497cf794348ca24aebf0df15a54b95d1333db7e964ec926fbc994c,pending,,,,false
knowledge_card,OS-MSK-001,犬起身僵硬或活动减少,musculoskeletal,dog,82a41b21d29cf7be33a365785129014ef50add5b04b4ada1febcf95ffcc3e1a9,pending,,,,false
knowledge_card,OS-MSK-002,猫减少跳跃,musculoskeletal,cat,34ac9793e6de230ac71b331da3e4f7597869de406e8fcf2ff53489acad3a7afc,pending,,,,false
knowledge_card,OS-MSK-003,老年猫狗活动变化需要记录什么,musculoskeletal,cat|dog,a1d9b579d52797f645efe498466a98c129646a6f8e9a452073b7d4a50d6b617c,pending,,,,false
knowledge_card,OS-UR-001,猫频繁进猫砂盆但尿量很少,urinary,cat,a056acaaff1851d591f234dd3d7d449312c5cca986d94803f7db12f701ff4b1e,pending,,,,false
knowledge_card,OS-UR-002,猫尿中带血,urinary,cat,bcf82334fd1e1264b18e79f42f3c197c24d35b7fce6142b9b10a8d29e2e47e50,pending,,,,false
knowledge_card,OS-UR-003,猫尿道阻塞风险,urinary,cat,4b1858373da428f2c60807fa4355a30336d269915ad251e71c80998d51c6e9c4,pending,,,,false
knowledge_card,OS-SKIN-001,犬反复瘙痒,dermatology,dog,b60999855918044a62b3880202ed44da4130a78ac8326bab16c372400dcb0f36,pending,,,,false
knowledge_card,OS-SKIN-002,犬舔爪和耳朵反复不适,dermatology,dog,7fd28910b2f4e00fea7b6bcbab140e00e6c3a6d82a399b160e8042225f467f70,pending,,,,false
knowledge_card,OS-SKIN-003,猫狗局部脱毛不能只凭照片判断,dermatology,cat|dog,6ac3620e797e80fec2fe6e5ea42665514b1f3d3334c0b4a46235d494bf7939e1,pending,,,,false
knowledge_card,OS-BEH-001,猫到新环境后躲藏,behavior,cat,b691c424423fb2dd41ea922fa6f83389eed58dce7b29fad82afa44848dca0f35,pending,,,,false
knowledge_card,OS-BEH-002,室内猫环境丰富化,behavior,cat,e0b6a1cbb1a8fb1050e5acc374dd28d20136da5ed5bbc2f41c86df3e8832fbcd,pending,,,,false
knowledge_card,OS-VAX-001,幼猫幼犬疫苗计划,preventive_care,cat|dog,4aa10a5921b908a58e09861e6d78af8e62f818c4b19507a90271151489f845a4,pending,,,,false
knowledge_card,OS-VAX-002,猫注射部位出现肿块,preventive_care,cat,86d27148545e08f3ac76e50ce51fb9fb51f2d868f7b56e3e41dd96fc447ab8f2,pending,,,,false
knowledge_card,OS-EYE-001,犬眼睛突然眯眼、发红或浑浊,eye,dog,8a5d0799e9f13ec15914f936fa6ab6b5eac14c76b002338cf177b4ca863f8420,pending,,,,false
knowledge_card,OS-EYE-002,犬突然视力下降,eye,dog,86734728915e8cbd8fafada897fa52a43c67e346f593732ae66c17021e399766,pending,,,,false
knowledge_card,MVP-GI-001,猫反复腹泻需排查寄生虫和其他病因,gastrointestinal,cat,5db8a4d1709c80ff45a66fe3c1e51f983c72887670055785b87d08d7a06b3583,pending,,,,false
knowledge_card,MVP-GI-002,犬偶发一次呕吐,gastrointestinal,dog,6515df1ad70542d3138b5fcda65598477e3804f1c69071ebc8c796f0e2b6379a,pending,,,,false
knowledge_card,MVP-GI-003,犬反复呕吐,gastrointestinal,dog,9417c9d6569f2604b66fde2b5055af14c5f85126ae1f1545bef7a169dae871a2,pending,,,,false
knowledge_card,MVP-GI-004,猫偶发呕吐需要观察什么,gastrointestinal,cat,2183df962648ad3959e2cc1fa3cb8772affe1c1801889179eafce65688baab5f,pending,,,,false
knowledge_card,MVP-GI-005,猫反复呕吐不能只按毛球处理,gastrointestinal,cat,535392ca1e756e3aa3ff4e539b58c3c54361db18e4ccea3ceeebe56932f47b3f,pending,,,,false
knowledge_card,MVP-GI-006,猫反复吐出毛发也需要评估,gastrointestinal,cat,57b79c0a073d806828ad607a646e27aa722d1bfb02850cd598e51cc92238d774,pending,,,,false
knowledge_card,MVP-GI-007,猫排便困难或便秘,gastrointestinal,cat,8be871dce401fa5394f010f9e4075cbd91afbbe0dbfcc23079d54cc6b5ccb885,pending,,,,false
knowledge_card,MVP-GI-008,犬反复吞咽或进食后反流,gastrointestinal,dog,b78cd24a08e136ff46a5a00ec652258a09d1173b7f25650e5140ed50781b1b26,pending,,,,false
knowledge_card,MVP-GI-009,区分呕吐和反流,gastrointestinal,cat|dog,d71489e7672adf2756bf5e4a4b66d594c50ec340db64de3c2f6c4c5b85acc98f,pending,,,,false
knowledge_card,MVP-GI-010,猫食欲突然下降,gastrointestinal,cat,c955e712d1e772340532d8e798f7a66883c5fb6b13cd38f4e641ca6602bc20da,pending,,,,false
knowledge_card,MVP-GI-011,犬食欲突然下降,gastrointestinal,dog,74e4929149c41d3e801bb460bacca487b2e63ec0d5159293a7daf365cc995c85,pending,,,,false
knowledge_card,MVP-GI-012,犬出现黑色柏油样便,gastrointestinal,dog,87c9c1a71f80d1ff1d7e9951a8dd44875fb994b34f704170024a63e77e6924ec,pending,,,,false
knowledge_card,MVP-GI-013,犬便中出现鲜红色血,gastrointestinal,dog,cb522750bb74c3c0caaeb3be2e5505a07dfff365d99250547ab34d3e1021768c,pending,,,,false
