"record_type","id","title","category_or_severity","species","content_hash","review_status","reviewer","license_number","reviewed_at","production_eligible"
"knowledge_card","OS-GI-001","犬突然出现轻度腹泻","gastrointestinal","dog","c830b806740e3fe005708e42b9fdb948cbd56485bb654786df640745ea79803a","pending","","","","false"
"knowledge_card","OS-GI-002","犬腹泻时需要记录哪些信息","gastrointestinal","dog","1fa671f6275abc0408fb2f526a73464caec26cda4b4efbb66c259f6f7aacb6ac","pending","","","","false"
"knowledge_card","OS-GI-003","犬腹泻是否可以自行用抗生素","gastrointestinal","dog","a127e98acea2922a5fdb51a3f142edc745f39cdb50bdce1b2bcc01753eeee0b6","pending","","","","false"
"knowledge_card","OS-RESP-001","猫打喷嚏并有鼻眼分泌物","respiratory","cat","ade909e605d74538d2df7a0c193debce606b7a8bffe815825d7776b386170d71","pending","","","","false"
"knowledge_card","OS-RESP-002","犬持续咳嗽","respiratory","dog","54695366b7a95c766526c089044ac62b31d60013f372ffed78595aedf3fe17d2","pending","","","","false"
"knowledge_card","OS-RESP-003","猫狗呼吸道症状是否需要抗生素","respiratory","cat|dog","7a122f2b0089f2e60780a4a1bd85bb0af49e32ca4f9a4b3d53df53effcc31927","pending","","","","false"
"knowledge_card","OS-EAR-001","犬频繁抓耳或甩头","ear","dog","537e919c2d19332d9d3fb589354817a383451d1dede5fd686fcbbc2ae8e69cd4","pending","","","","false"
"knowledge_card","OS-EAR-002","犬耳朵异味和分泌物","ear","dog","8ff5d075fd0e4c1c88e97602bda010c5efa37860fb236e09594c2dbc3f5548b9","pending","","","","false"
"knowledge_card","OS-EAR-003","猫耳朵很脏并抓挠","ear","cat","893943032ae34bdbbcf4736aa6b5a60b61fff248629511d9107d8d9f000a7885","pending","","","","false"
"knowledge_card","OS-ORAL-001","猫口臭","oral","cat","58fcf02849d19e0a90de418b2bebf7aa3999cb6025e509ac24fdce01faf07050","pending","","","","false"
"knowledge_card","OS-ORAL-002","猫牙齿有牙结石","oral","cat","01530ec7ee26e4477ddc6c5a1cf474537c6f633bc6ee0a5b353b6f1169175177","pending","","","","false"
