card_id,title,changed_fields
OS-GI-001,犬突然出现轻度腹泻,phrase_expansion_and_new_cards_applied_v1_7
OS-GI-002,犬腹泻时需要记录哪些信息,phrase_expansion_and_new_cards_applied_v1_7
OS-GI-003,犬腹泻是否可以自行用抗生素,phrase_expansion_and_new_cards_applied_v1_7
OS-RESP-001,猫打喷嚏并有鼻眼分泌物,phrase_expansion_and_new_cards_applied_v1_7
OS-RESP-002,犬持续咳嗽,phrase_expansion_and_new_cards_applied_v1_7
OS-RESP-003,猫狗呼吸道症状是否需要抗生素,phrase_expansion_and_new_cards_applied_v1_7
OS-EAR-001,犬频繁抓耳或甩头,phrase_expansion_and_new_cards_applied_v1_7
OS-EAR-002,犬耳朵异味和分泌物,phrase_expansion_and_new_cards_applied_v1_7
OS-EAR-003,猫耳朵很脏并抓挠,phrase_expansion_and_new_cards_applied_v1_7
OS-ORAL-001,猫口臭,phrase_expansion_and_new_cards_applied_v1_7
OS-ORAL-002,猫牙齿有牙结石,phrase_expansion_and_new_cards_applied_v1_7
OS-ORAL-003,犬牙龈红和口臭,phrase_expansion_and_new_cards_applied_v1_7
OS-ORAL-004,猫可能出现口腔疼痛的表现,phrase_expansion_and_new_cards_applied_v1_7
OS-MSK-001,犬起身僵硬或活动减少,phrase_expansion_and_new_cards_applied_v1_7
OS-MSK-002,猫减少跳跃,phrase_expansion_and_new_cards_applied_v1_7
OS-MSK-003,老年猫狗活动变化需要记录什么,phrase_expansion_and_new_cards_applied_v1_7
OS-UR-001,猫频繁进猫砂盆但尿量很少,phrase_expansion_and_new_cards_applied_v1_7
OS-UR-002,猫尿中带血,phrase_expansion_and_new_cards_applied_v1_7
OS-UR-003,猫尿道阻塞风险,phrase_expansion_and_new_cards_applied_v1_7
OS-SKIN-001,犬反复瘙痒,phrase_expansion_and_new_cards_applied_v1_7
OS-SKIN-002,犬舔爪和耳朵反复不适,phrase_expansion_and_new_cards_applied_v1_7
OS-SKIN-003,猫狗局部脱毛不能只凭照片判断,phrase_expansion_and_new_cards_applied_v1_7
OS-BEH-001,猫到新环境后躲藏,phrase_expansion_and_new_cards_applied_v1_7
OS-BEH-002,室内猫环境丰富化,phrase_expansion_and_new_cards_applied_v1_7
OS-VAX-001,幼猫幼犬疫苗计划,phrase_expansion_and_new_cards_applied_v1_7
OS-VAX-002,猫注射部位出现肿块,phrase_expansion_and_new_cards_applied_v1_7
OS-EYE-001,犬眼睛突然眯眼、发红或浑浊,phrase_expansion_and_new_cards_applied_v1_7
OS-EYE-002,犬突然视力下降,phrase_expansion_and_new_cards_applied_v1_7
MVP-GI-001,猫反复腹泻需排查寄生虫和其他病因,phrase_expansion_and_new_cards_applied_v1_7
