id,version,locale,title,species,category,scope,user_phrases,owner_observable_signs,source_supported_simple_facts,questions_to_ask,safe_next_step,red_flags,retrieval_text,evidence,license_policy,commercial_use_allowed,repair_status,release_gate,review_required,index_tier,production_eligible,content_hash
OS-GI-001,1.6.0-open-mvp-truth-repair-draft,zh-CN,犬突然出现轻度腹泻,"[""dog""]",gastrointestinal,simple_owner_question,"[""狗今天拉稀"", ""突然软便""]","[""突然出现软便或稀便"", ""目前精神和饮水基本正常""]","[""急性腹泻是犬常见就诊问题"", ""严重程度需要结合全身状态、呕吐和便血判断""]","[""大便中是否带血或呈黑色？"", ""是否出现呕吐？"", ""今天腹泻了几次？""]",记录粪便次数、颜色和照片；保证饮水；若出现任一红旗表现，请立即线下就诊；若症状持续或伴随全身症状，也应及时线下检查。,"[""频繁水样腹泻"", ""便血或黑便"", ""反复呕吐"", ""精神明显下降"", ""幼犬或疫苗不全"", ""明显腹痛或腹部胀大"", ""眼窝凹陷或皮肤回弹差等脱水迹象""]",犬突然出现轻度腹泻；狗今天拉稀；突然软便；突然出现软便或稀便；目前精神和饮水基本正常；急性腹泻是犬常见就诊问题；严重程度需要结合全身状态、呕吐和便血判断；频繁水样腹泻；便血或黑便；反复呕吐；精神明显下降；幼犬或疫苗不全；明显腹痛或腹部胀大；眼窝凹陷或皮肤回弹差等脱水迹象,"[{""source_id"": ""PMC12156985"", ""title"": ""Epidemiology and clinical management of acute diarrhoea in dogs under primary veterinary care in the UK"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC12156985/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}, {""source_id"": ""PMC7465157"", ""title"": ""Acute Diarrhea in Dogs: Current Management and Potential Role of Dietary Polyphenols Supplementation"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC7465157/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}]",Only verified CC BY/CC0 evidence is retained; attribution and change notices are mandatory.,true,adversarial_review_fixes_applied_v1_6,blocked_pending_mainland_China_licensed_veterinarian_review,true,test,false,e8bd9d3e6ec06095b27bc841f4dd932cc9fc592ec67b9cdcfdbb21ed90131f90
OS-GI-002,1.6.0-open-mvp-truth-repair-draft,zh-CN,犬腹泻时需要记录哪些信息,"[""dog""]",gastrointestinal,simple_owner_question,"[""狗拉稀要观察什么"", ""腹泻怎么判断严重""]","[""粪便次数、形态和颜色发生变化""]","[""病史和全身状态是评估急性腹泻严重程度的重要部分"", ""幼龄、高龄或已有疾病的犬需要更谨慎""]","[""犬的年龄是多大？疫苗接种是否完成？"", ""犬是否有既往疾病或正在长期用药？"", ""除腹泻外，犬还出现了哪些其他表现（如频繁呕吐、腹部按压疼痛等）？""]",记录时间、次数、粪便照片、饮食变化和伴随症状，供兽医判断。若出现上述任一红旗表现，请立即联系兽医或前往急诊。,"[""脱水或虚弱"", ""无法饮水"", ""腹部明显疼痛"", ""幼犬未完成免疫且腹泻"", ""血便/黑便/呕血"", ""频繁呕吐"", ""精神沉郁/虚脱""]",犬腹泻时需要记录哪些信息；狗拉稀要观察什么；腹泻怎么判断严重；粪便次数、形态和颜色发生变化；病史和全身状态是评估急性腹泻严重程度的重要部分；幼龄、高龄或已有疾病的犬需要更谨慎；脱水或虚弱；无法饮水；腹部明显疼痛；幼犬未完成免疫且腹泻；血便/黑便/呕血；频繁呕吐；精神沉郁/虚脱,"[{""source_id"": ""PMC12156985"", ""title"": ""Epidemiology and clinical management of acute diarrhoea in dogs under primary veterinary care in the UK"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC12156985/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}]",Only verified CC BY/CC0 evidence is retained; attribution and change notices are mandatory.,true,adversarial_review_fixes_applied_v1_6,blocked_pending_mainland_China_licensed_veterinarian_review,true,test,false,0cca9bb72065cf99f97305fa205e99b166b374a9ff7c5c7b3406e7a54fe2b1f4
OS-GI-003,1.6.0-open-mvp-truth-repair-draft,zh-CN,犬腹泻是否可以自行用抗生素,"[""dog""]",gastrointestinal,simple_owner_question,"[""狗拉稀能吃抗生素吗"", ""要不要吃消炎药""]","[""急性腹泻""]","[""急性腹泻存在不同病因，是否需要抗菌药应由兽医结合全身情况判断"", ""不应仅凭稀便自行决定用药""]","[""它有没有发热表现，比如发抖、耳朵或腹部发烫？"", ""近期有没有用过任何药物或保健品，比如抗生素、止泻药、益生菌？"", ""腹泻大概持续多长时间了？""]",不要自行使用抗生素；若出现任一红旗表现（全身状态差、大量便血、反复呕吐、快速脱水），应立即就医或急诊；持续或严重时由兽医检查后决定。,"[""全身状态差"", ""大量便血"", ""反复呕吐"", ""快速脱水""]",犬腹泻是否可以自行用抗生素；狗拉稀能吃抗生素吗；要不要吃消炎药；急性腹泻；急性腹泻存在不同病因，是否需要抗菌药应由兽医结合全身情况判断；不应仅凭稀便自行决定用药；全身状态差；大量便血；反复呕吐；快速脱水,"[{""source_id"": ""PMC12156985"", ""title"": ""Epidemiology and clinical management of acute diarrhoea in dogs under primary veterinary care in the UK"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC12156985/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}, {""source_id"": ""PMC7465157"", ""title"": ""Acute Diarrhea in Dogs: Current Management and Potential Role of Dietary Polyphenols Supplementation"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC7465157/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}]",Only verified CC BY/CC0 evidence is retained; attribution and change notices are mandatory.,true,adversarial_review_fixes_applied_v1_6,blocked_pending_mainland_China_licensed_veterinarian_review,true,test,false,577913695c50e9f79ca9aaef92b3dad62d6076e85487c1793c5be1d89b57046a
OS-RESP-001,1.6.0-open-mvp-truth-repair-draft,zh-CN,猫打喷嚏并有鼻眼分泌物,"[""cat""]",respiratory,simple_owner_question,"[""猫打喷嚏流鼻涕"", ""猫眼鼻有分泌物""]","[""喷嚏"", ""鼻腔或眼部分泌物""]","[""这些表现可见于猫上呼吸道疾病"", ""仅凭外观无法判断是否为细菌感染或是否需要抗菌药""]","[""猫咪的鼻眼分泌物是清亮、浑浊还是带血？"", ""猫咪这些症状出现多久了？"", ""猫咪最近是否接种过疫苗？""]",若出现任一红标表现（张口呼吸、明显呼吸费力、完全不吃、精神差/嗜睡），请立即就医或急诊；否则可先保持环境通风、减少刺激性气味并监测食欲和呼吸，持续或加重时就医。,"[""张口呼吸"", ""明显呼吸费力"", ""完全不吃"", ""精神差/嗜睡（任何年龄）""]",猫打喷嚏并有鼻眼分泌物；猫打喷嚏流鼻涕；猫眼鼻有分泌物；喷嚏；鼻腔或眼部分泌物；这些表现可见于猫上呼吸道疾病；仅凭外观无法判断是否为细菌感染或是否需要抗菌药；张口呼吸；明显呼吸费力；完全不吃；幼猫精神差,"[{""source_id"": ""PMC11405337"", ""title"": ""Feline respiratory disease complex: insights into the role of viral and bacterial co-infections"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC11405337/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}]",Only verified CC BY/CC0 evidence is retained; attribution and change notices are mandatory.,true,adversarial_review_fixes_applied_v1_6,blocked_pending_mainland_China_licensed_veterinarian_review,true,test,false,3f79475ebb049cfe42453e6b0ad6cae3a121714615d5ea3252a88ac4695f7e9e
OS-RESP-002,1.6.0-open-mvp-truth-repair-draft,zh-CN,犬持续咳嗽,"[""dog""]",respiratory,simple_owner_question,"[""狗一直咳"", ""像卡住一样咳""]","[""重复咳嗽"", ""可能在兴奋、运动或夜间更明显""]","[""犬咳嗽可能涉及多种呼吸道原因"", ""是否使用抗菌药需要专业评估，不能仅凭咳嗽决定""]","[""咳嗽已经持续多久了？"", ""近期是否接触过大量犬只或去过寄养、美容等犬只聚集场所？""]",记录咳嗽视频和发生频率，避免剧烈运动；若出现呼吸费力、咳血、昏厥、舌头或牙龈颜色异常中的任一情况，请立即就医或急诊。,"[""呼吸费力"", ""咳血"", ""昏厥"", ""舌头或牙龈颜色异常""]",犬持续咳嗽；狗一直咳；像卡住一样咳；重复咳嗽；可能在兴奋、运动或夜间更明显；犬咳嗽可能涉及多种呼吸道原因；是否使用抗菌药需要专业评估，不能仅凭咳嗽决定；呼吸费力；咳血；昏厥；舌头或牙龈颜色异常,"[{""source_id"": ""PMC6483346"", ""title"": ""Canine infectious respiratory disease: New insights into the etiology and epidemiology of associated pathogens"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC6483346/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}]",Only verified CC BY/CC0 evidence is retained; attribution and change notices are mandatory.,true,adversarial_review_fixes_applied_v1_6,blocked_pending_mainland_China_licensed_veterinarian_review,true,test,false,468f97f6c56fc84d8bd3419d1c5de5662255c37106b64f681874a78cd9cd8fb6
OS-RESP-003,1.6.0-open-mvp-truth-repair-draft,zh-CN,猫狗呼吸道症状是否需要抗生素,"[""cat"", ""dog""]",respiratory,simple_owner_question,"[""打喷嚏要吃抗生素吗"", ""咳嗽能不能吃消炎药""]","[""喷嚏、咳嗽或分泌物""]","[""呼吸道疾病可能由病毒、细菌或非感染因素引起"", ""抗菌药选择需要结合诊断和严重程度""]","[""是否出现呼吸困难（如张口呼吸、呼吸费力、牙龈或舌头发紫）？"", ""整体状态是否在短时间内快速恶化（如精神萎靡、反应差）？"", ""是否完全无法进食或饮水？""]",不要使用家中剩余抗生素；由兽医根据检查结果决定；若出现上述任一红旗表现，请立即就医或急诊。,"[""呼吸困难"", ""状态快速恶化"", ""无法进食饮水""]",猫狗呼吸道症状是否需要抗生素；打喷嚏要吃抗生素吗；咳嗽能不能吃消炎药；喷嚏、咳嗽或分泌物；呼吸道疾病可能由病毒、细菌或非感染因素引起；抗菌药选择需要结合诊断和严重程度；呼吸困难；状态快速恶化；无法进食饮水,"[{""source_id"": ""PMC11405337"", ""title"": ""Feline respiratory disease complex: insights into the role of viral and bacterial co-infections"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC11405337/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}, {""source_id"": ""PMC6483346"", ""title"": ""Canine infectious respiratory disease: New insights into the etiology and epidemiology of associated pathogens"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC6483346/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}]",Only verified CC BY/CC0 evidence is retained; attribution and change notices are mandatory.,true,adversarial_review_fixes_applied_v1_6,blocked_pending_mainland_China_licensed_veterinarian_review,true,test,false,ef09545e9cbaaebc6a8183f823e9a295604158ab31627238234f0223ff98504d
OS-EAR-001,1.6.0-open-mvp-truth-repair-draft,zh-CN,犬频繁抓耳或甩头,"[""dog""]",ear,simple_owner_question,"[""狗一直甩头"", ""狗不停抓耳朵""]","[""抓耳"", ""甩头"", ""耳部不适""]","[""外耳炎是犬常见问题"", ""需要检查诱因以及耳道中的继发变化""]","[""头部有没有歪向一侧，或者走路时步态不稳？"", ""耳朵里面有没有明显出血？"", ""碰它耳朵时，它的疼痛反应是不是非常剧烈？""]",保持耳部干燥，不要用棉签或耳液深入清洁。若出现头部倾斜、步态不稳、耳道出血或剧烈疼痛中的任一情况，请立即就医或前往急诊；其他情况也应在 24～48 小时内安排耳镜和分泌物检查。,"[""头部倾斜"", ""平衡异常"", ""耳道出血"", ""剧烈疼痛""]",犬频繁抓耳或甩头；狗一直甩头；狗不停抓耳朵；抓耳；甩头；耳部不适；外耳炎是犬常见问题；需要检查诱因以及耳道中的继发变化；头部倾斜；平衡异常；耳道出血；剧烈疼痛,"[{""source_id"": ""PMC8422687"", ""title"": ""Frequency and predisposing factors for canine otitis externa in the UK – a primary veterinary care epidemiological view"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC8422687/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}]",Only verified CC BY/CC0 evidence is retained; attribution and change notices are mandatory.,true,adversarial_review_fixes_applied_v1_6,blocked_pending_mainland_China_licensed_veterinarian_review,true,test,false,f3d35b14840e94a8148cf745f71efe03bdf6e743a54bb4637ab2f9d46fc54ac9
OS-EAR-002,1.6.0-open-mvp-truth-repair-draft,zh-CN,犬耳朵异味和分泌物,"[""dog""]",ear,simple_owner_question,"[""狗耳朵很臭"", ""耳朵有棕色东西""]","[""耳道异味"", ""耳垢或分泌物增多""]","[""外耳炎可与多种原发和继发因素有关"", ""仅凭颜色和气味不能确定病原""]","[""耳朵问题以前是否反复发作过？"", ""是否频繁抓挠耳朵？"", ""近期耳朵是否进过水（如洗澡、游泳）？""]",不要使用以前剩余的耳药；保留分泌物状态。若出现耳道肿闭、头歪失衡、出血、明显疼痛中任一红旗，应立即就医或急诊；无上述红旗可预约常规耳科检查。,"[""耳道肿闭"", ""头歪失衡"", ""出血"", ""明显疼痛""]",犬耳朵异味和分泌物；狗耳朵很臭；耳朵有棕色东西；耳道异味；耳垢或分泌物增多；外耳炎可与多种原发和继发因素有关；仅凭颜色和气味不能确定病原；耳道肿闭；头歪失衡；出血；明显疼痛,"[{""source_id"": ""PMC8422687"", ""title"": ""Frequency and predisposing factors for canine otitis externa in the UK – a primary veterinary care epidemiological view"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC8422687/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}]",Only verified CC BY/CC0 evidence is retained; attribution and change notices are mandatory.,true,adversarial_review_fixes_applied_v1_6,blocked_pending_mainland_China_licensed_veterinarian_review,true,test,false,42b3e642ed62a0b7b2ab2f2cd746cf3f0e4a799d8219c468c22e75eb35fcf356
OS-EAR-003,1.6.0-open-mvp-truth-repair-draft,zh-CN,猫耳朵很脏并抓挠,"[""cat""]",ear,simple_owner_question,"[""猫耳朵有很多黑色东西"", ""猫一直抓耳""]","[""耳垢增多"", ""抓耳或甩头""]","[""猫外耳炎可能与耳螨、细菌等因素有关"", ""需要耳道检查和样本检查区分""]","[""猫咪耳朵是否有明显异味？"", ""触碰猫咪耳根时是否表现出疼痛（如躲闪、低吼）？"", ""家中其他猫是否也有频繁抓耳？""]",出现任一红旗（头歪或失衡、耳道出血、耳廓快速肿大、剧烈疼痛）应立即就医或急诊；不要用棉签深入耳道，安排耳镜及分泌物检查。,"[""头歪或失衡"", ""耳道出血"", ""耳廓快速肿大"", ""剧烈疼痛""]",猫耳朵很脏并抓挠；猫耳朵有很多黑色东西；猫一直抓耳；耳垢增多；抓耳或甩头；猫外耳炎可能与耳螨、细菌等因素有关；需要耳道检查和样本检查区分；头歪或失衡；耳道出血；耳廓快速肿大；剧烈疼痛,"[{""source_id"": ""PMC12983938"", ""title"": ""Prevalence of Otitis Externa in a Population of Owned Cats in Northern Italy"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC12983938/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}]",Only verified CC BY/CC0 evidence is retained; attribution and change notices are mandatory.,true,adversarial_review_fixes_applied_v1_6,blocked_pending_mainland_China_licensed_veterinarian_review,true,test,false,a11afe1a6a0655651a89efde9f576b18589888032988bbc7f95d927c8ea56aa9
OS-ORAL-001,1.6.0-open-mvp-truth-repair-draft,zh-CN,猫口臭,"[""cat""]",oral,simple_owner_question,"[""猫嘴巴很臭"", ""猫口气很重""]","[""持续口腔异味""]","[""口臭可能与牙菌斑、牙周及其他口腔问题有关"", ""猫可能隐藏口腔疼痛""]","[""进食是否变慢或减少？"", ""牙龈是否红肿？"", ""轻触牙龈是否容易出血？""]",若出现任一红旗（拒绝进食、大量流涎、面部肿胀、明显口腔出血），请立即就医或前往急诊；若出现进食变慢/减少、牙龈红肿或轻触易出血等任一异常表现，也应尽快安排就诊；仅当以上征象均不存在且猫咪无明显疼痛迹象时，再安排常规口腔检查并讨论适合的家庭牙科护理。,"[""拒绝进食"", ""大量流涎"", ""面部肿胀"", ""明显口腔出血""]",猫口臭；猫嘴巴很臭；猫口气很重；持续口腔异味；口臭可能与牙菌斑、牙周及其他口腔问题有关；猫可能隐藏口腔疼痛；拒绝进食；大量流涎；面部肿胀；明显口腔出血,"[{""source_id"": ""PMC8469879"", ""title"": ""Dental Problems and Prophylactic Care in Cats—Knowledge and Perceptions among Swedish Cat Owners and Communication by Veterinary Care Staff"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC8469879/"", ""license"": ""CC BY 4.0"", ""page_or_section"": ""Abstract"", ""verification_status"": ""source_identity_license_and_locator_verified_2026-08-12; veterinary_claim_review_pending"", ""support_note"": ""中文内容为保守概括；来源用于支持主题、物种和风险边界，不代表个体诊断。"", ""change_note"": ""已在 v1.4 核对来源身份、商业许可、题名和定位；未逐字复制。""}]",Only verified CC BY/CC0 evidence is retained; attribution and change notices are mandatory.,true,adversarial_review_fixes_applied_v1_6,blocked_pending_mainland_China_licensed_veterinarian_review,true,test,false,f6d18417ed054833626aad0d3f07ea776a61138fc3316128b8fdc5c06dd00d27
